,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1698967,1,2025-08-20 16:49:15,2025-08-20 16:56:47,1.0,1.3,1.0,N,239,24,1,10.0,5.0,0.5,3.0,0.0,1.0,19.5,2.5,0.0,0.0
274514,2,2025-08-04 12:21:12,2025-08-04 12:35:22,1.0,3.79,1.0,N,263,170,2,19.1,0.0,0.5,0.0,0.0,1.0,23.85,2.5,0.0,0.75
1701945,2,2025-08-20 16:42:55,2025-08-20 16:58:05,1.0,1.36,1.0,N,236,141,2,14.2,2.5,0.5,0.0,0.0,1.0,20.7,2.5,0.0,0.0
2192646,1,2025-08-26 11:25:12,2025-08-26 11:29:30,1.0,0.6,1.0,N,263,262,1,6.5,2.5,0.5,2.1,0.0,1.0,12.6,2.5,0.0,0.0
489401,2,2025-08-06 18:33:34,2025-08-06 18:47:13,3.0,0.77,1.0,N,163,230,1,12.8,2.5,0.5,4.01,0.0,1.0,24.06,2.5,0.0,0.75
2137843,1,2025-08-25 16:18:23,2025-08-25 16:22:29,1.0,0.4,1.0,N,166,24,1,5.8,2.5,0.5,2.0,0.0,1.0,11.8,0.0,0.0,0.0
2492705,1,2025-08-29 17:08:40,2025-08-29 17:40:26,0.0,3.1,1.0,N,144,100,1,27.5,5.75,0.5,6.95,0.0,1.0,41.7,2.5,0.0,0.75
2519633,2,2025-08-29 22:48:38,2025-08-29 23:14:43,1.0,3.46,1.0,N,230,148,1,24.0,1.0,0.5,4.0,0.0,1.0,33.75,2.5,0.0,0.75
2949757,2,2025-08-09 13:58:05,2025-08-09 14:16:08,,0.0,,,226,145,0,14.49,0.0,0.5,0.0,0.0,1.0,15.99,,,0.0
758126,2,2025-08-09 18:21:40,2025-08-09 18:52:32,2.0,10.17,1.0,N,138,244,1,44.3,5.0,0.5,11.55,6.94,1.0,71.04,0.0,1.75,0.0
1746799,2,2025-08-21 00:27:18,2025-08-21 00:30:04,1.0,1.05,1.0,N,50,143,4,-6.5,-1.0,-0.5,0.0,0.0,-1.0,-12.25,-2.5,0.0,-0.75
711367,1,2025-08-09 02:49:02,2025-08-09 03:21:24,3.0,6.3,1.0,N,79,151,1,34.5,4.25,0.5,3.0,0.0,1.0,43.25,2.5,0.0,0.75
472459,2,2025-08-06 15:38:57,2025-08-06 16:12:38,2.0,11.07,1.0,N,43,138,1,47.1,5.0,0.5,9.46,6.94,1.0,72.5,2.5,0.0,0.0
3143398,2,2025-08-16 14:04:15,2025-08-16 14:33:05,,4.15,,,170,239,0,28.07,0.0,0.5,5.91,0.0,1.0,38.73,,,0.75
426853,1,2025-08-06 04:37:27,2025-08-06 04:45:06,1.0,1.3,1.0,N,68,79,2,8.6,4.25,0.5,0.0,0.0,1.0,14.35,2.5,0.0,0.75
1298621,7,2025-08-15 19:37:16,2025-08-15 19:37:16,3.0,1.17,1.0,N,142,230,1,10.0,0.0,0.5,4.31,0.0,1.0,21.56,2.5,0.0,0.75
2659085,2,2025-08-31 17:32:29,2025-08-31 17:46:20,3.0,2.95,1.0,N,236,161,2,16.3,0.0,0.5,0.0,0.0,1.0,21.05,2.5,0.0,0.75
3350145,2,2025-08-23 21:48:51,2025-08-23 22:00:49,,3.36,,,33,80,0,0.28,0.0,0.5,0.0,0.0,1.0,1.78,,,0.0
1254017,2,2025-08-15 11:21:27,2025-08-15 11:48:55,1.0,3.66,1.0,N,234,262,1,26.1,0.0,0.5,7.71,0.0,1.0,38.56,2.5,0.0,0.75
1409704,2,2025-08-17 01:07:04,2025-08-17 01:07:08,1.0,0.0,1.0,N,37,37,1,3.0,1.0,0.5,2.0,0.0,1.0,7.5,0.0,0.0,0.0
32509,2,2025-08-01 13:46:10,2025-08-01 13:56:01,1.0,1.12,1.0,N,237,230,1,10.0,0.0,0.5,0.0,0.0,1.0,14.75,2.5,0.0,0.75
2885019,2,2025-08-07 10:19:20,2025-08-07 10:50:42,,8.01,,,33,237,0,43.3,0.0,0.5,18.92,0.0,1.0,66.22,,,0.0
844077,2,2025-08-10 20:15:17,2025-08-10 20:19:44,2.0,0.91,1.0,N,236,237,1,7.2,0.0,0.5,2.0,0.0,1.0,13.2,2.5,0.0,0.0
2378422,2,2025-08-28 12:06:02,2025-08-28 12:35:14,1.0,2.34,1.0,N,162,50,4,24.7,0.0,0.5,0.0,0.0,1.0,29.45,2.5,0.0,0.75
2460783,2,2025-08-29 10:57:29,2025-08-29 11:07:08,3.0,0.93,1.0,N,100,162,2,9.3,0.0,0.5,0.0,0.0,1.0,14.05,2.5,0.0,0.75
1381770,2,2025-08-16 19:46:13,2025-08-16 19:54:27,3.0,1.46,1.0,N,238,142,1,10.7,0.0,0.5,2.25,0.0,1.0,16.95,2.5,0.0,0.0
2409511,2,2025-08-28 17:11:41,2025-08-28 17:17:38,1.0,1.4,1.0,N,236,74,1,7.9,2.5,0.5,1.0,0.0,1.0,15.4,2.5,0.0,0.0
947351,2,2025-08-12 08:28:16,2025-08-12 08:34:27,1.0,0.86,1.0,N,90,90,1,7.2,0.0,0.5,5.0,0.0,1.0,16.95,2.5,0.0,0.75
2981914,2,2025-08-10 12:27:21,2025-08-10 12:58:36,,6.91,,,213,127,0,28.88,0.0,0.5,0.0,0.0,1.0,30.38,,,0.0
1037837,2,2025-08-13 08:09:52,2025-08-13 08:18:13,1.0,1.75,1.0,N,151,142,1,10.7,0.0,0.5,2.94,0.0,1.0,17.64,2.5,0.0,0.0
3567835,2,2025-08-31 21:11:55,2025-08-31 21:22:32,,1.82,,,249,209,0,-4.75,0.0,0.5,0.0,0.0,1.0,2.38,,,0.75
3211662,2,2025-08-18 16:48:39,2025-08-18 17:24:38,,0.0,,,48,37,0,-3.88,0.0,0.5,0.0,6.94,1.0,7.81,,,0.75
2050731,2,2025-08-24 14:33:23,2025-08-24 15:26:05,2.0,17.81,2.0,N,132,230,1,70.0,0.0,0.5,11.56,6.94,1.0,95.0,2.5,1.75,0.75
424137,2,2025-08-06 00:08:20,2025-08-06 00:14:44,1.0,1.72,1.0,N,48,239,2,10.0,1.0,0.5,0.0,0.0,1.0,15.75,2.5,0.0,0.75
2229935,2,2025-08-26 18:12:05,2025-08-26 18:20:42,6.0,1.16,1.0,N,151,238,2,9.3,2.5,0.5,0.0,0.0,1.0,15.8,2.5,0.0,0.0
2722175,2,2025-08-01 23:23:56,2025-08-01 23:38:29,,2.27,,,48,114,0,21.57,0.0,0.5,0.0,0.0,1.0,26.32,,,0.75
2792371,2,2025-08-03 18:18:00,2025-08-03 18:31:00,,2.43,,,79,68,0,-4.75,0.0,0.5,0.0,0.0,1.0,2.49,,,0.75
1958024,2,2025-08-23 13:38:36,2025-08-23 13:49:15,2.0,0.93,1.0,N,170,161,1,11.4,0.0,0.5,5.0,0.0,1.0,21.15,2.5,0.0,0.75
2687022,2,2025-08-31 23:30:15,2025-08-31 23:48:28,1.0,3.54,1.0,N,114,181,1,19.8,1.0,0.5,6.39,0.0,1.0,31.94,2.5,0.0,0.75
898834,2,2025-08-11 15:30:41,2025-08-11 15:37:32,1.0,2.06,1.0,N,140,233,1,11.4,0.0,0.5,3.0,0.0,1.0,18.4,2.5,0.0,0.0
105841,7,2025-08-02 09:13:54,2025-08-02 09:13:54,1.0,2.55,1.0,N,234,229,1,14.2,0.0,0.5,1.0,0.0,1.0,19.95,2.5,0.0,0.75
2563538,2,2025-08-30 14:04:00,2025-08-30 14:17:22,1.0,2.19,1.0,N,100,211,1,14.2,0.0,0.5,3.79,0.0,1.0,22.74,2.5,0.0,0.75
3142143,2,2025-08-16 13:08:52,2025-08-16 13:29:24,,8.63,,,28,226,0,28.06,0.0,0.5,0.0,0.0,1.0,29.56,,,0.0
1154426,2,2025-08-14 10:29:13,2025-08-14 10:35:55,1.0,0.71,1.0,N,246,68,1,7.9,0.0,0.5,1.5,0.0,1.0,14.15,2.5,0.0,0.75
3230450,2,2025-08-19 17:49:13,2025-08-19 18:08:52,,0.0,,,79,75,0,-1.33,0.0,0.5,0.0,0.0,1.0,3.42,,,0.75
1106644,2,2025-08-13 19:03:45,2025-08-13 20:12:38,1.0,18.89,1.0,N,132,247,2,84.2,2.5,0.5,0.0,6.94,1.0,96.89,0.0,1.75,0.0
1957815,2,2025-08-23 13:38:26,2025-08-23 13:48:16,1.0,1.25,1.0,N,162,230,2,10.7,0.0,0.5,0.0,0.0,1.0,15.45,2.5,0.0,0.75
600648,1,2025-08-07 20:49:23,2025-08-07 21:00:03,1.0,1.7,1.0,N,237,262,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,0.0
3170848,2,2025-08-17 03:50:00,2025-08-17 04:05:00,,4.62,,,234,75,0,20.93,0.0,0.5,0.0,0.0,1.0,25.68,,,0.75
509090,7,2025-08-06 21:30:57,2025-08-06 21:30:57,1.0,2.41,1.0,N,249,230,1,17.0,0.0,0.5,1.0,0.0,1.0,23.75,2.5,0.0,0.75
400898,2,2025-08-05 19:12:49,2025-08-05 19:28:41,1.0,4.92,1.0,N,144,181,1,21.9,2.5,0.5,5.83,0.0,1.0,34.98,2.5,0.0,0.75
757083,2,2025-08-09 18:14:13,2025-08-09 18:31:50,2.0,3.7,1.0,N,181,114,1,21.2,0.0,0.5,6.49,0.0,1.0,32.44,2.5,0.0,0.75
384261,2,2025-08-05 16:01:05,2025-08-05 16:21:54,1.0,3.19,1.0,N,246,231,1,21.9,2.5,0.5,5.83,0.0,1.0,34.98,2.5,0.0,0.75
132991,1,2025-08-02 16:36:35,2025-08-02 16:41:03,1.0,1.4,1.0,N,50,246,1,7.9,3.25,0.5,2.55,0.0,1.0,15.2,2.5,0.0,0.75
2158656,2,2025-08-25 20:03:31,2025-08-25 20:13:28,1.0,1.1,1.0,N,162,48,1,10.0,1.0,0.5,2.0,0.0,1.0,17.75,2.5,0.0,0.75
3384409,2,2025-08-24 20:57:57,2025-08-24 21:19:32,,7.65,,,74,241,0,26.62,0.0,0.5,0.0,0.0,1.0,28.12,,,0.0
822756,2,2025-08-10 15:45:49,2025-08-10 15:54:31,2.0,1.7,1.0,N,43,43,1,11.4,0.0,0.5,3.08,0.0,1.0,18.48,2.5,0.0,0.0
2816841,2,2025-08-04 18:26:30,2025-08-04 18:40:37,,0.0,,,141,107,0,17.87,0.0,0.5,0.0,0.0,1.0,22.62,,,0.75
2040392,1,2025-08-24 12:20:14,2025-08-24 12:38:00,1.0,3.6,1.0,N,246,236,1,17.7,3.25,0.5,4.5,0.0,1.0,26.95,2.5,0.0,0.75
342834,2,2025-08-05 09:31:52,2025-08-05 09:44:47,1.0,2.18,1.0,N,236,161,1,14.2,0.0,0.5,3.79,0.0,1.0,22.74,2.5,0.0,0.75
3217355,2,2025-08-18 22:16:17,2025-08-18 22:37:38,,6.71,,,223,137,0,1.06,0.0,0.5,0.0,0.0,1.0,5.81,,,0.75
